"filename", "language", "Dotenv", "Go Checksum File", "Go Module File", "Markdown", "Go", "HTML", "PostCSS", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\.env", "Dotenv", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 13, 0, 12, 10, 35
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, -8, -5
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\cmd\web\main.go", "Go", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\cmd\web\routes.go", "Go", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 8, 29
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 3, 33
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\go.mod", "Go Module File", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\go.sum", "Go Checksum File", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\handlers\handlers.go", "Go", 0, 0, 0, 0, 376, 0, 0, 0, 0, 65, 102, 543
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\handlers\helpers.go", "Go", 0, 0, 0, 0, 516, 0, 0, 0, 0, 14, 78, 608
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\licitaciones.go", "Go", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\partidas.go", "Go", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\producto.go", "Go", 0, 0, 0, 0, 52, 0, 0, 0, 0, 4, 7, 63
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\templatedata.go", "Go", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 3, 10
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\static\css\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 62, 0, 0, 5, 11, 78
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\base\base.layout.tmpl", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\home\home.page.tmpl", "HTML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\editar-producto.page.tmpl", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, -22, -4, -4
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-catalogos.page.tmpl", "HTML", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 17, 235
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-comercio-exterior.page.tmpl", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-ieps.page.tmpl", "HTML", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 10, 105
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-inventario.page.tmpl", "HTML", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 9, 144
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\inventario.page.tmpl", "HTML", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 8, 60
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\archivos.page.tmpl", "HTML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 3, 82
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, -6, 7, 23
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-partida.page.tmpl", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, -8, -12, -14
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\licitacion-catalogos.page.tmpl", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 9, 151
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\mostrar-partidas.page.tmpl", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nuevo-producto-partida.page.tmpl", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 0, -2, 11, 52
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\productos-partida.page.tmpl", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"Total", "-", 4, 2, 1, 3, 990, 939, 62, 13, 26, 72, 301, 2413